Unnamed: 0.1,Unnamed: 0,brand,name,price,spec_rating,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,display_size,resolution_width,resolution_height,OS,warranty
397,438,Hp,Pavilion Plus 14-Eh0037Tu Laptop,82799,70.0,12Th Gen Intel Core I5 12500H,"12 Cores (4P + 8E), 16 Threads",16Gb,Ddr4,512Gb,Ssd,Intel Integrated Iris Xe,14.0,2880,1800,Windows 11 Os,1
398,439,Dell,Vostro 3425 D552308Win9B Laptop,31790,60.0,5Th Gen Amd Ryzen 3  5425U,"Quad Core, 8 Threads",8Gb,Ddr4,256Gb,Ssd,Amd Radeon Amd,14.0,1920,1080,Windows 11 Os,1
399,441,Lenovo,Ideapad Gaming 3 15Ach6 82K2022Xin Laptop,60990,67.0,5Th Gen Amd Ryzen 7  5800H,"Octa Core, 16 Threads",8Gb,Ddr4,512Gb,Ssd,4Gb Nvidia Geforce Rtx 3050,15.6,1920,1080,Windows 11 Os,1
400,445,Msi,Thin Gf63 12Vf-268In Laptop,86990,77.0,12Th Gen Intel Core I5 12450H,"Octa Core (4P + 4E), 12 Threads",16Gb,Ddr4,1Tb,Hard-Disk,8Gb Nvidia Geforce Rtx 4060,15.6,1920,1080,Windows 11 Os,1
401,446,Dell,Vostro 3420 Laptop,52990,63.0,11Th Gen Intel Core I5 1135G7,"Quad Core, 8 Threads",16Gb,Ddr4,512Gb,Ssd,Intel Graphics,14.0,1920,1080,Windows 11 Os,1
402,447,Dell,Vostro 3425 Laptop,38990,69.32352941,5Th Gen Amd Ryzen 5 5500U,"Hexa Core, 12 Threads",8Gb,Ddr4,512Gb,Ssd,Amd Radeon Graphics,14.0,1920,1080,Windows 11 Os,1
403,448,Asus,Vivobook Go 15 Oled 2023 E1504Fa-Lk545Ws Laptop,52558,60.0,7Th Gen Amd Ryzen 5 7520U,"Quad Core, 8 Threads",16Gb,Lpddr5,512Gb,Ssd,Amd Radeon Amd,15.6,1920,1080,Windows 11 Os,1
404,449,Asus,Vivobook 14 X1400Ea-Ek322Ws Notebook,31990,69.32352941,11Th Gen Intel Core I3 1115G4,"Dual Core, 4 Threads",8Gb,Ddr4,512Gb,Ssd,Intel Integrated Intel Uhd,14.0,1920,1080,Windows 11 Os,1
405,450,Hp,15-Fc0026Au Laptop,34499,69.32352941,7Th Gen Amd Ryzen 3 7320U,"Quad Core, 8 Threads",8Gb,Lpddr5,512Gb,Ssd,Amd Radeon Amd,15.6,1920,1080,Windows 11 Os,1
406,452,Asus,Zenbook 14 Oled 2023 Ux3402Va-Kn541Ws Laptop,94490,75.0,13Th Gen Intel Core I5 1340P,"12 Cores (4P + 8E), 16 Threads",16Gb,Lpddr5,512Gb,Ssd,Intel Iris Xe Graphics,14.0,2880,1800,Windows 11 Os,1
407,453,Hp,15S-Fq2738Tu Laptop,33800,69.32352941,11Th Gen Intel Core I3 1115G4,"Dual Core, 4 Threads",8Gb,Ddr4,512Gb,Ssd,Intel Integrated Uhd Graphics,15.6,1366,768,Windows 11 Os,1
408,454,Samsung,Galaxy Book 3  Np750Xfg-Kb2In Laptop,74390,69.32352941,13Th Gen Intel Core I5 1335U,"10 Cores (2P + 8E), 12 Threads",16Gb,Lpddr4X,512Gb,Ssd,Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 Os,1
409,455,Asus,Zenbook 14 Flip Oled 2023 Up3404Va-Kn542Ws Laptop,104490,71.0,13Th Gen Intel Core I5 1340P,"12 Cores (4P + 8E), 16 Threads",16Gb,Lpddr5,512Gb,Ssd,Intel Iris Xe Graphics,14.0,2880,1800,Windows 11 Os,1
410,457,Asus,Vivobook S15 Oled 2023 S5504Va-Ma953Ws Laptop,105739,71.0,13Th Gen Intel Core I9 13900H,"14 Cores (6P + 8E), 20 Threads",16Gb,Lpddr5,1Tb,Ssd,Intel Integrated Iris Xe,15.6,2880,1620,Windows 11 Os,1
411,463,Lenovo,Thinkpad E15 21E6S05A00 Laptop,45500,66.0,12Th Gen Intel Core I3 1215U,"Hexa Core (2P + 4E), 8 Threads",8Gb,Ddr4,512Gb,Ssd,Intel Uhd Graphics,15.6,1920,1080,Windows 11 Os,1
